match_id,world_cup_year,host_country,date,stage,round_raw,group,team1,team2,halftime_score_team1,halftime_score_team2,fulltime_score_team1,fulltime_score_team2,extra_time_score_team1,extra_time_score_team2,penalty_score_team1,penalty_score_team2,winner,result_method,stadium,city,is_historical_entity,has_halftime_data,went_to_extra_time,went_to_penalties,is_walkover,total_goals_match,goal_difference,is_draw,team1_result,team2_result,tournament_stage_order
28,1934,Italy,1934-05-31,Quarter-final,Quarter-finals,,Germany,Sweden,0,0,2,1,,,,,Germany,Normal Time,Stadio San Siro,Milan,False,True,False,False,False,3,1,False,Win,Loss,4
29,1934,Italy,1934-05-31,Quarter-final,Quarter-finals,,Italy,Spain,1,1,1,1,1,1,,,Draw,Draw (after Extra Time),Stadio Giovanni Berta,Florence,False,True,True,False,False,2,0,True,Draw,Draw,4
30,1934,Italy,1934-05-31,Quarter-final,Quarter-finals,,Austria,Hungary,1,0,2,1,,,,,Austria,Normal Time,Stadio Littoriale,Bologna,False,True,False,False,False,3,1,False,Win,Loss,4
31,1934,Italy,1934-06-01,Quarter-final,"Quarter-finals, Replays",,Italy,Spain,1,0,1,0,,,,,Italy,Normal Time,Stadio Giovanni Berta,Florence,False,True,False,False,False,1,1,False,Win,Loss,4
32,1934,Italy,1934-06-03,Semi-final,Semi-finals,,Italy,Austria,1,0,1,0,,,,,Italy,Normal Time,Stadio San Siro,Milan,False,True,False,False,False,1,1,False,Win,Loss,5
33,1934,Italy,1934-06-03,Semi-final,Semi-finals,,Czechoslovakia,Germany,1,0,3,1,,,,,Czechoslovakia,Normal Time,Stadio Nazionale PNF,Rome,True,True,False,False,False,4,2,False,Win,Loss,5
34,1934,Italy,1934-06-07,Third-place match,Third-place match,,Germany,Austria,3,1,3,2,,,,,Germany,Normal Time,Stadio Giorgio Ascarelli,Naples,False,True,False,False,False,5,1,False,Win,Loss,6
35,1934,Italy,1934-06-10,Final,Final,,Italy,Czechoslovakia,0,0,1,1,2,1,,,Italy,Extra Time,Stadio Nazionale PNF,Rome,True,True,True,False,False,2,0,False,Win,Loss,7
36,1938,France,1938-06-04,First round,First round,,Switzerland,Germany,1,1,1,1,1,1,,,Draw,Draw (after Extra Time),Parc des Princes,Paris,False,True,True,False,False,2,0,True,Draw,Draw,1
37,1938,France,1938-06-05,First round,First round,,Hungary,Dutch East Indies,4,0,6,0,,,,,Hungary,Normal Time,Vélodrome Municipal,Reims,False,True,False,False,False,6,6,False,Win,Loss,1
38,1938,France,1938-06-05,First round,First round,,France,Belgium,2,1,3,1,,,,,France,Normal Time,Stade Olympique de Colombes,Paris,False,True,False,False,False,4,2,False,Win,Loss,1
39,1938,France,1938-06-05,First round,First round,,Cuba,Romania,1,1,2,2,3,3,,,Draw,Draw (after Extra Time),Stade Chapou,Toulouse,False,True,True,False,False,4,0,True,Draw,Draw,1
40,1938,France,1938-06-05,First round,First round,,Italy,Norway,1,0,1,1,2,1,,,Italy,Extra Time,Stade Vélodrome,Marseille,False,True,True,False,False,2,0,False,Win,Loss,1
41,1938,France,1938-06-05,First round,First round,,Brazil,Poland,3,1,4,4,6,5,,,Brazil,Extra Time,Stade de la Meinau,Strasbourg,False,True,True,False,False,8,0,False,Win,Loss,1
42,1938,France,1938-06-05,First round,First round,,Czechoslovakia,Netherlands,0,0,0,0,3,0,,,Czechoslovakia,Extra Time,Stade municipal,Le Havre,True,True,True,False,False,0,0,False,Win,Loss,1
43,1938,France,1938-06-05,First round,First round,,Sweden,Austria,,,,,,,,,Sweden,Walkover,Stade Gerland,Lyon,False,False,False,False,True,,,False,Win,Loss,1
44,1938,France,1938-06-09,"First round, Replays","First round, Replays",,Cuba,Romania,0,1,2,1,,,,,Cuba,Normal Time,Stade Chapou,Toulouse,False,True,False,False,False,3,1,False,Win,Loss,1
45,1938,France,1938-06-09,"First round, Replays","First round, Replays",,Germany,Switzerland,2,1,2,4,,,,,Switzerland,Normal Time,Parc des Princes,Paris,False,True,False,False,False,6,2,False,Loss,Win,1
46,1938,France,1938-06-12,Quarter-final,Quarter-finals,,Brazil,Czechoslovakia,1,0,1,1,1,1,,,Draw,Draw (after Extra Time),Parc Lescure,Bordeaux,True,True,True,False,False,2,0,True,Draw,Draw,4
47,1938,France,1938-06-12,Quarter-final,Quarter-finals,,Switzerland,Hungary,0,1,0,2,,,,,Hungary,Normal Time,Stade Victor Boucquey,Lille,False,True,False,False,False,2,2,False,Loss,Win,4
48,1938,France,1938-06-12,Quarter-final,Quarter-finals,,Sweden,Cuba,4,0,8,0,,,,,Sweden,Normal Time,Stade du Fort Carré,Antibes,False,True,False,False,False,8,8,False,Win,Loss,4
49,1938,France,1938-06-12,Quarter-final,Quarter-finals,,France,Italy,1,1,1,3,,,,,Italy,Normal Time,Stade Olympique de Colombes,Paris,False,True,False,False,False,4,2,False,Loss,Win,4
50,1938,France,1938-06-14,Quarter-final,"Quarter-finals, Replays",,Brazil,Czechoslovakia,0,1,2,1,,,,,Brazil,Normal Time,Parc Lescure,Bordeaux,True,True,False,False,False,3,1,False,Win,Loss,4
51,1938,France,1938-06-16,Semi-final,Semi-finals,,Hungary,Sweden,3,1,5,1,,,,,Hungary,Normal Time,Parc des Princes,Paris,False,True,False,False,False,6,4,False,Win,Loss,5
52,1938,France,1938-06-16,Semi-final,Semi-finals,,Italy,Brazil,0,0,2,1,,,,,Italy,Normal Time,Stade Vélodrome,Marseille,False,True,False,False,False,3,1,False,Win,Loss,5
53,1938,France,1938-06-19,Third Place Play-off,Match for third place,,Sweden,Brazil,2,1,2,4,,,,,Brazil,Normal Time,Parc Lescure,Bordeaux,False,True,False,False,False,6,2,False,Loss,Win,6
54,1938,France,1938-06-19,Final,Final,,Hungary,Italy,1,3,2,4,,,,,Italy,Normal Time,Stade Olympique de Colombes,Paris,False,True,False,False,False,6,2,False,Loss,Win,7
55,1950,Brazil,1950-06-24,First round,First round,Group 1,Brazil,Mexico,1,0,4,0,,,,,Brazil,Normal Time,Estádio do Maracanã,Rio de Janeiro,False,True,False,False,False,4,4,False,Win,Loss,1
56,1950,Brazil,1950-06-25,First round,First round,Group 1,Yugoslavia,Switzerland,0,0,3,0,,,,,Yugoslavia,Normal Time,Estádio Independência,Belo Horizonte,True,True,False,False,False,3,3,False,Win,Loss,1
57,1950,Brazil,1950-06-28,First round,First round,Group 1,Brazil,Switzerland,2,1,2,2,,,,,Draw,Draw,Estádio do Pacaembu,São Paulo,False,True,False,False,False,4,0,True,Draw,Draw,1
58,1950,Brazil,1950-06-28,First round,First round,Group 1,Yugoslavia,Mexico,2,0,4,1,,,,,Yugoslavia,Normal Time,Estádio dos Eucaliptos,Porto Alegre,True,True,False,False,False,5,3,False,Win,Loss,1
59,1950,Brazil,1950-07-01,First round,First round,Group 1,Brazil,Yugoslavia,1,0,2,0,,,,,Brazil,Normal Time,Estádio do Maracanã,Rio de Janeiro,True,True,False,False,False,2,2,False,Win,Loss,1
60,1950,Brazil,1950-07-02,First round,First round,Group 1,Switzerland,Mexico,2,0,2,1,,,,,Switzerland,Normal Time,Estádio dos Eucaliptos,Porto Alegre,False,True,False,False,False,3,1,False,Win,Loss,1
61,1950,Brazil,1950-06-25,First round,First round,Group 2,England,Chile,,,2,0,,,,,England,Normal Time,Estádio do Maracanã,Rio de Janeiro,False,False,False,False,False,2,2,False,Win,Loss,1
