match_id,world_cup_year,host_country,date,stage,tournament_stage_order,group,result_method,is_walkover,went_to_extra_time,went_to_penalties,has_halftime_data,team,opponent,goals_for,goals_against,result,is_historical_entity
26,1934,Italy,1934-05-27,Preliminary round,0,,Normal Time,False,False,False,True,Czechoslovakia,Romania,2,1,Win,True
26,1934,Italy,1934-05-27,Preliminary round,0,,Normal Time,False,False,False,True,Romania,Czechoslovakia,1,2,Loss,False
27,1934,Italy,1934-05-31,Quarter-final,4,,Normal Time,False,False,False,True,Czechoslovakia,Switzerland,3,2,Win,True
27,1934,Italy,1934-05-31,Quarter-final,4,,Normal Time,False,False,False,True,Switzerland,Czechoslovakia,2,3,Loss,False
28,1934,Italy,1934-05-31,Quarter-final,4,,Normal Time,False,False,False,True,Germany,Sweden,2,1,Win,False
28,1934,Italy,1934-05-31,Quarter-final,4,,Normal Time,False,False,False,True,Sweden,Germany,1,2,Loss,False
29,1934,Italy,1934-05-31,Quarter-final,4,,Draw (after Extra Time),False,True,False,True,Italy,Spain,1,1,Draw,False
29,1934,Italy,1934-05-31,Quarter-final,4,,Draw (after Extra Time),False,True,False,True,Spain,Italy,1,1,Draw,False
30,1934,Italy,1934-05-31,Quarter-final,4,,Normal Time,False,False,False,True,Austria,Hungary,2,1,Win,False
30,1934,Italy,1934-05-31,Quarter-final,4,,Normal Time,False,False,False,True,Hungary,Austria,1,2,Loss,False
31,1934,Italy,1934-06-01,Quarter-final,4,,Normal Time,False,False,False,True,Italy,Spain,1,0,Win,False
31,1934,Italy,1934-06-01,Quarter-final,4,,Normal Time,False,False,False,True,Spain,Italy,0,1,Loss,False
32,1934,Italy,1934-06-03,Semi-final,5,,Normal Time,False,False,False,True,Austria,Italy,0,1,Loss,False
32,1934,Italy,1934-06-03,Semi-final,5,,Normal Time,False,False,False,True,Italy,Austria,1,0,Win,False
33,1934,Italy,1934-06-03,Semi-final,5,,Normal Time,False,False,False,True,Czechoslovakia,Germany,3,1,Win,True
33,1934,Italy,1934-06-03,Semi-final,5,,Normal Time,False,False,False,True,Germany,Czechoslovakia,1,3,Loss,False
34,1934,Italy,1934-06-07,Third-place match,6,,Normal Time,False,False,False,True,Austria,Germany,2,3,Loss,False
34,1934,Italy,1934-06-07,Third-place match,6,,Normal Time,False,False,False,True,Germany,Austria,3,2,Win,False
35,1934,Italy,1934-06-10,Final,7,,Extra Time,False,True,False,True,Czechoslovakia,Italy,1,1,Loss,True
35,1934,Italy,1934-06-10,Final,7,,Extra Time,False,True,False,True,Italy,Czechoslovakia,1,1,Win,False
36,1938,France,1938-06-04,First round,1,,Draw (after Extra Time),False,True,False,True,Germany,Switzerland,1,1,Draw,False
36,1938,France,1938-06-04,First round,1,,Draw (after Extra Time),False,True,False,True,Switzerland,Germany,1,1,Draw,False
37,1938,France,1938-06-05,First round,1,,Normal Time,False,False,False,True,Dutch East Indies,Hungary,0,6,Loss,False
37,1938,France,1938-06-05,First round,1,,Normal Time,False,False,False,True,Hungary,Dutch East Indies,6,0,Win,False
38,1938,France,1938-06-05,First round,1,,Normal Time,False,False,False,True,Belgium,France,1,3,Loss,False
38,1938,France,1938-06-05,First round,1,,Normal Time,False,False,False,True,France,Belgium,3,1,Win,False
39,1938,France,1938-06-05,First round,1,,Draw (after Extra Time),False,True,False,True,Cuba,Romania,2,2,Draw,False
39,1938,France,1938-06-05,First round,1,,Draw (after Extra Time),False,True,False,True,Romania,Cuba,2,2,Draw,False
40,1938,France,1938-06-05,First round,1,,Extra Time,False,True,False,True,Italy,Norway,1,1,Win,False
40,1938,France,1938-06-05,First round,1,,Extra Time,False,True,False,True,Norway,Italy,1,1,Loss,False
41,1938,France,1938-06-05,First round,1,,Extra Time,False,True,False,True,Brazil,Poland,4,4,Win,False
